,Pool,Hotel stars,Free internet,Hotel name
8,0,0,1,2
461,1,2,1,9
118,1,2,1,16
263,1,3,1,11
472,1,2,1,9
128,1,4,1,1
124,1,4,1,1
170,1,4,1,12
428,1,4,1,13
343,1,0,1,18
387,1,1,1,19
385,1,1,1,19
381,1,0,1,5
196,1,4,1,20
268,1,4,1,3
453,1,4,1,0
152,1,4,1,10
438,1,4,1,0
269,1,4,1,3
457,1,2,1,9
245,1,3,1,11
119,1,2,1,16
227,1,4,1,17
156,1,4,1,10
371,1,0,1,5
164,1,4,1,10
220,1,4,1,17
273,1,4,1,3
91,1,2,1,15
351,1,0,1,18
180,1,4,1,12
240,1,3,1,11
208,1,4,1,20
81,1,2,1,15
338,1,0,1,18
295,1,1,1,6
229,1,4,1,17
129,1,4,1,1
311,1,1,1,6
299,1,1,1,6
366,1,0,1,5
452,1,4,1,0
501,1,2,1,14
401,1,1,1,19
301,1,1,1,6
388,1,1,1,19
270,1,4,1,3
40,1,0,1,4
150,1,4,1,10
368,1,0,1,5
432,1,4,1,0
285,1,4,1,3
286,1,4,1,3
63,1,2,0,8
121,1,4,1,1
238,1,4,1,17
254,1,3,1,11
6,0,0,1,2
364,1,0,1,5
348,1,0,1,18
171,1,4,1,12
161,1,4,1,10
193,1,4,1,20
200,1,4,1,20
11,0,0,1,2
279,1,4,1,3
113,1,2,1,16
89,1,2,1,15
42,1,0,1,4
315,1,1,1,7
182,1,4,1,12
474,1,2,1,9
415,1,4,1,13
214,1,4,1,20
450,1,4,1,0
242,1,3,1,11
423,1,4,1,13
210,1,4,1,20
97,1,2,1,16
354,1,0,1,18
178,1,4,1,12
247,1,3,1,11
158,1,4,1,10
2,0,0,1,2
100,1,2,1,16
490,1,2,1,14
76,1,2,1,15
434,1,4,1,0
133,1,4,1,1
372,1,0,1,5
104,1,2,1,16
154,1,4,1,10
383,1,0,1,5
362,1,0,1,5
271,1,4,1,3
105,1,2,1,16
309,1,1,1,6
74,1,2,1,15
25,1,0,1,4
41,1,0,1,4
155,1,4,1,10
132,1,4,1,1
199,1,4,1,20
218,1,4,1,17
198,1,4,1,20
73,1,2,1,15
272,1,4,1,3
305,1,1,1,6
298,1,1,1,6
355,1,0,1,18
476,1,2,1,9
400,1,1,1,19
379,1,0,1,5
135,1,4,1,1
157,1,4,1,10
386,1,1,1,19
302,1,1,1,6
243,1,3,1,11
425,1,4,1,13
239,1,4,1,17
139,1,4,1,1
427,1,4,1,13
289,1,1,1,6
331,1,1,1,7
414,1,4,1,13
292,1,1,1,6
